title;description;artist;culture;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Pair of Sword-Grip Ornaments (Menuki); ;;Japanese;<p>Date: 18th century<br/>Accession Number: 38.55.74a, b</p>;"/art/collection/search/29495?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=165";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-38_55_74a_b-001.jpg;aa/web-additional/LC-38_55_74a_b-001.jpg;aa/web-large/LC-38_55_74a_b-001.jpg;18th century;Gold;38.55.74a, b;Not on view
Pair of Sword-Grip Ornaments (Menuki); ;;Japanese;<p>Date: 18th century<br/>Accession Number: 38.55.75a, b</p>;"/art/collection/search/29496?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=166";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-38_55_75a_b-001.jpg;aa/web-additional/LC-38_55_75a_b-001.jpg;aa/web-large/LC-38_55_75a_b-001.jpg;18th century;Gold;38.55.75a, b;Not on view
Sword Guard (Tsuba); ;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 46.122.216</p>;"/art/collection/search/35276?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=167";https://images.metmuseum.org/CRDImages/aa/mobile-large/46.122.216_001may2014.jpg;aa/web-additional/46.122.216_001may2014.jpg;aa/web-large/46.122.216_001may2014.jpg;ca. 1615–1868;Iron, copper;46.122.216;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira); ;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 46.122.315a, b</p>;"/art/collection/search/35336?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=168";https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-46_122_315a_b-001.jpg;aa/web-additional/LC-46_122_315a_b-001.jpg;aa/web-large/LC-46_122_315a_b-001.jpg;ca. 1615–1868;Sword Furniture-Fuchi-Kashira;46.122.315a, b;Not on view
Cock; ;;British, Staffordshire;<p>Date: ca. 1790<br/>Accession Number: 12.142.6</p>;"/art/collection/search/191969?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=169";https://images.metmuseum.org/CRDImages/es/mobile-large/DP-17550-010.jpg;es/web-additional/DP-17550-010.jpg;es/web-large/DP-17550-010.jpg;ca. 1790;Pottery, brown glaze;12.142.6;Not on view
Dress panels (2); ;;French;<p>Date: third quarter 18th century<br/>Accession Number: 26.231.19, .20</p>;"/art/collection/search/221830?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=170";https://images.metmuseum.org/CRDImages/es/mobile-large/65181.jpg;es/web-additional/65181.jpg;es/web-large/65181.jpg;third quarter 18th century;Silk on silk, metal lace;26.231.19, .20;Not on view
Group of Fourteen Roundels for Jeu de Moulin; ;;German;<p>Date: 20th century<br/>Accession Number: 48.174.58a–n</p>;"/art/collection/search/199941?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=171";https://images.metmuseum.org/CRDImages/es/mobile-large/SFES2704D.jpg;es/web-additional/SFES2704D.jpg;es/web-large/SFES2704D.jpg;20th century;Rosewood;48.174.58a–n;Not on view
Purse;Harry Rosenfeld ;Harry Rosenfeld;American;<p>Harry Rosenfeld</p><p>Date: 1943<br/>Accession Number: C.I.54.24.10</p>;"/art/collection/search/117084?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=172";https://images.metmuseum.org/CRDImages/ci/mobile-large/CI54.24.10.jpg;ci/web-additional/CI54.24.10.jpg;ci/web-large/CI54.24.10.jpg;1943;silk;C.I.54.24.10;Not on view
Fan; ;;American or European;<p>Date: 1800–1939<br/>Accession Number: C.I.39.79.58</p>;"/art/collection/search/120603?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=173";https://images.metmuseum.org/CRDImages/ci/mobile-large/CI39.79.58.jpg;ci/web-additional/CI39.79.58.jpg;ci/web-large/CI39.79.58.jpg;1800–1939;paper;C.I.39.79.58;Not on view
Button; ;;French;<p>Date: ca. 1910<br/>Accession Number: 51.47.2837–.2850</p>;"/art/collection/search/127618?&ao=on&ft=Rooster&offset=100&rpp=100&amp;pos=174";https://images.metmuseum.org/CRDImages/ci/mobile-large/51.47.2837–.2850.jpg;ci/web-additional/51.47.2837–.2850.jpg;ci/web-large/51.47.2837–.2850.jpg;ca. 1910;[no medium available];51.47.2837–.2850;Not on view
